ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
156,312198.9433,1110152.69,Alouatta palliata,,Mono Congo,1,"Pachamama, Guanacaste Province, Costa Rica",10.035436,-85.713014,68724735
157,447737.0289,1110510.194,Alouatta palliata,,Mono Congo,7,"San Ram??n, Alajuela, CR",10.04275,-84.476786,68166327
158,447945.1926,1113490.054,Alouatta palliata,,Mono Congo,5,"San Ram??n, Alajuela, CR",10.069695,-84.474926,68166995
159,419303.301,1114813.263,Alouatta palliata,,Mono Congo,16,"Final Calle Las Brujas, Puntarenas Province, Miramar, Costa Rica",10.08118,-84.736257,68421706
160,419320.3555,1114847.143,Alouatta palliata,,Mono Congo,5,"Provincia de Puntarenas, Miramar, Costa Rica",10.081487,-84.736102,68241893
161,451686.1498,1114888.857,Alouatta palliata,,Mono Congo,12,"San Ram??n, Alajuela, CR",10.08239,-84.440813,68249526
162,447087.5581,1115255.766,Alouatta palliata,,Mono Congo,14,"San Ram??n, Alajuela, CR",10.085649,-84.482774,68166555
163,395338.0706,1116656.102,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Manzanillo, Costa Rica",10.09728,-84.954941,68621537
164,395338.0706,1116656.102,Alouatta palliata,,Mono Congo,1,"Provincia de Puntarenas, Manzanillo, Costa Rica",10.09728,-84.954941,68621537
165,562051.9198,1119021.84,Alouatta palliata,,Mono Congo,10,"Lim??n, Costa Rica",10.119567,-83.43378,68154835
166,550320.8251,1120086.045,Alouatta palliata,,Mono Congo,3,"Lim??n, Costa Rica",10.129355,-83.540809,68511172
167,399030.1731,1124221.545,Cebus  imitator,,Mono Carablanca,1,"Guanacaste Province, Costa Rica",10.165773,-84.921452,68671770
168,348152.5753,1128776.97,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",10.205315,-85.385862,68549149
169,325128.9201,1128887.157,Alouatta palliata,,Mono Congo,7,"Prov?¡ncia de Guanacaste, Costa Rica",10.205351,-85.595943,68446809
170,306457.8982,1134420.526,Alouatta palliata,,Mono Congo,9,"Santa Cruz, Guanacaste, CR",10.254481,-85.766566,69765248
171,307074.1864,1135666.71,Alouatta palliata,,Mono Congo,15,"Prov?¡ncia de Guanacaste, Costa Rica",10.265774,-85.761005,68446770
172,416850.1691,1135916.528,Ateles geoffroyi,,Mono Araña,18,Costa Rica,10.271923,-84.759088,68506506
173,562884.1878,1136117.132,Ateles geoffroyi,,Mono Araña,2,"Lim??n, CR",10.274117,-83.425909,68602638
174,310114.2077,1136574.804,Alouatta palliata,,Mono Congo,7,"Prov?¡ncia de Guanacaste, Costa Rica",10.27413,-85.733309,68491804
175,339557.2044,1136667.949,Alouatta palliata,,Mono Congo,7,"V?¡a 150, Nicoya, Guanacaste, CR",10.276297,-85.464619,68103226
176,302936.8863,1136867.307,Alouatta palliata,,Mono Congo,17,"Prov?¡ncia de Guanacaste, Costa Rica",10.276417,-85.798818,68276709
177,398203.7768,1137244.842,Alouatta palliata,,Mono Congo,1,"La Sierra, Provincia de Guanacaste, Costa Rica",10.283489,-84.929335,68888625
178,307198.5893,1137999.107,Alouatta palliata,,Mono Congo,7,"Prov?¡ncia de Guanacaste, Costa Rica",10.286859,-85.759986,68491476
